column	imaging_relevant	GFP_relevant
FSC.A	T	F
FSC.H	T	F
FSC.W	T	F
LightLoss..Imaging..A	T	F
LightLoss..Imaging..H	T	F
LightLoss..Imaging..W	T	F
SSC..Imaging..A	T	F
SSC..Imaging..H	T	F
SSC..Imaging..W	T	F
NeonGreen.A	T	T
DRAQ5..A	T	F
DAPI..A	T	F
Size..LightLoss..Imaging..	T	F
Size..FSC.	T	F
Size..SSC..Imaging..	T	F
Size..NeonGreen.FITC.	T	T
Size..DRAQ5..	T	F
Max.Intensity..LightLoss..Imaging..	T	F
Max.Intensity..FSC.	T	F
Max.Intensity..SSC..Imaging..	T	F
Max.Intensity..NeonGreen.FITC.	T	T
Max.Intensity..DRAQ5..	T	F
Long.Axis.Moment..LightLoss..Imaging..	T	F
Long.Axis.Moment..FSC.	T	F
Long.Axis.Moment..SSC..Imaging..	T	F
Long.Axis.Moment..NeonGreen.FITC.	T	T
Long.Axis.Moment..DRAQ5..	T	F
Short.Axis.Moment..LightLoss..Imaging..	T	F
Short.Axis.Moment..FSC.	T	F
Short.Axis.Moment..SSC..Imaging..	T	F
Short.Axis.Moment..NeonGreen.FITC.	T	T
Short.Axis.Moment..DRAQ5..	T	F
Center.of.Mass..Y...LightLoss..Imaging..	T	F
Center.of.Mass..Y...FSC.	T	F
Center.of.Mass..Y...SSC..Imaging..	T	F
Center.of.Mass..Y...NeonGreen.FITC.	T	T
Center.of.Mass..Y...DRAQ5..	T	F
Center.of.Mass..X...LightLoss..Imaging..	T	F
Center.of.Mass..X...FSC.	T	F
Center.of.Mass..X...SSC..Imaging..	T	F
Center.of.Mass..X...NeonGreen.FITC.	T	T
Center.of.Mass..X...DRAQ5..	T	F
Total.Intensity..LightLoss..Imaging..	T	F
Total.Intensity..FSC.	T	F
Total.Intensity..SSC..Imaging..	T	F
Total.Intensity..NeonGreen.FITC.	T	T
Total.Intensity..DRAQ5..	T	F
Correlation..NeonGreen.FITC.DRAQ5..	T	T
Radial.Moment..SSC..Imaging..	T	F
Radial.Moment..LightLoss..Imaging..	T	F
Radial.Moment..FSC.	T	F
Radial.Moment..NeonGreen.FITC.	T	T
Radial.Moment..DRAQ5..	T	F
Eccentricity..SSC..Imaging..	T	F
Eccentricity..LightLoss..Imaging..	T	F
Eccentricity..FSC.	T	F
Eccentricity..NeonGreen.FITC.	T	T
Eccentricity..DRAQ5..	T	F
Diffusivity..SSC..Imaging..	T	F
Diffusivity..LightLoss..Imaging..	T	F
Diffusivity..FSC.	T	F
Diffusivity..NeonGreen.FITC.	T	T
Diffusivity..DRAQ5..	T	F
Delta.CoM..SSC..Imaging..LightLoss..Imaging..	T	F
Delta.CoM..SSC..Imaging..FSC.	T	F
Delta.CoM..SSC..Imaging..NeonGreen.FITC.	T	T
Delta.CoM..SSC..Imaging..DRAQ5..	T	F
Delta.CoM..LightLoss..Imaging..FSC.	T	F
Delta.CoM..LightLoss..Imaging..NeonGreen.FITC.	T	T
Delta.CoM..LightLoss..Imaging..DRAQ5..	T	F
Delta.CoM..FSC.NeonGreen.FITC.	T	T
Delta.CoM..FSC.DRAQ5..	T	F
Delta.CoM..NeonGreen.FITC.DRAQ5..	T	T
FSC.T	T	F
LightLoss..Imaging..T	T	F
SSC..Imaging..T	T	F
