column	log_scale
FSC.A	1
LightLoss..Imaging..A	0
SSC..Imaging..A	1
NeonGreen.A	1
DRAQ5..A	0
DAPI..A	0
Size..LightLoss..Imaging..	1
Size..FSC.	1
Size..SSC..Imaging..	1
Size..NeonGreen.FITC.	1
Size..DRAQ5..	1
Max.Intensity..LightLoss..Imaging..	1
Max.Intensity..FSC.	1
Max.Intensity..SSC..Imaging..	1
Max.Intensity..NeonGreen.FITC.	1
Max.Intensity..DRAQ5..	1
Long.Axis.Moment..LightLoss..Imaging..	0
Long.Axis.Moment..FSC.	0
Long.Axis.Moment..SSC..Imaging..	0
Long.Axis.Moment..NeonGreen.FITC.	0
Long.Axis.Moment..DRAQ5..	0
Short.Axis.Moment..LightLoss..Imaging..	0
Short.Axis.Moment..FSC.	0
Short.Axis.Moment..SSC..Imaging..	0
Short.Axis.Moment..NeonGreen.FITC.	0
Short.Axis.Moment..DRAQ5..	0
Center.of.Mass..Y...LightLoss..Imaging..	0
Center.of.Mass..Y...FSC.	0
Center.of.Mass..Y...SSC..Imaging..	0
Center.of.Mass..Y...NeonGreen.FITC.	0
Center.of.Mass..Y...DRAQ5..	0
Center.of.Mass..X...LightLoss..Imaging..	0
Center.of.Mass..X...FSC.	0
Center.of.Mass..X...SSC..Imaging..	0
Center.of.Mass..X...NeonGreen.FITC.	0
Center.of.Mass..X...DRAQ5..	0
Total.Intensity..LightLoss..Imaging..	1
Total.Intensity..FSC.	1
Total.Intensity..SSC..Imaging..	1
Total.Intensity..NeonGreen.FITC.	1
Total.Intensity..DRAQ5..	1
Correlation..NeonGreen.FITC.DRAQ5..	0
Radial.Moment..SSC..Imaging..	0
Radial.Moment..LightLoss..Imaging..	0
Radial.Moment..FSC.	0
Radial.Moment..NeonGreen.FITC.	0
Radial.Moment..DRAQ5..	0
Eccentricity..SSC..Imaging..	0
Eccentricity..LightLoss..Imaging..	0
Eccentricity..FSC.	0
Eccentricity..NeonGreen.FITC.	0
Eccentricity..DRAQ5..	0
Diffusivity..SSC..Imaging..	1
Diffusivity..LightLoss..Imaging..	1
Diffusivity..FSC.	1
Diffusivity..NeonGreen.FITC.	1
Diffusivity..DRAQ5..	1
Delta.CoM..SSC..Imaging..LightLoss..Imaging..	0
Delta.CoM..SSC..Imaging..FSC.	0
Delta.CoM..SSC..Imaging..NeonGreen.FITC.	0
Delta.CoM..SSC..Imaging..DRAQ5..	0
Delta.CoM..LightLoss..Imaging..FSC.	0
Delta.CoM..LightLoss..Imaging..NeonGreen.FITC.	0
Delta.CoM..LightLoss..Imaging..DRAQ5..	0
Delta.CoM..FSC.NeonGreen.FITC.	0
Delta.CoM..FSC.DRAQ5..	0
Delta.CoM..NeonGreen.FITC.DRAQ5..	0
