id	protein_id	batch	FCS	WSP	image_folder	image_file_prefix
TOMM20_S8_calibration_run1	TOMM20	S8_calibration_run1	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/09_Tomm20/09_Tomm20.fcs	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/09_Tomm20/09_Tomm20.wsp	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/09_Tomm20/09_Tomm20_images_20240104_1237_13	09_Tomm20
HNRNPA1_S8_calibration_run1	HNRNPA1	S8_calibration_run1	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/12_HNRNPA1/12_HNRNPA1.fcs	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/12_HNRNPA1/12_HNRNPA1.wsp	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/12_HNRNPA1/12_HNRNPA1_images_20240104_1246_18	12_HNRNPA1
GOLGA5_S8_calibration_run1	GOLGA5	S8_calibration_run1	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/17_Golga5/17_Golga5.fcs	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/17_Golga5/17_Golga5.wsp	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/17_Golga5/17_Golga5_images_20240104_1310_25	17_Golga5
LMNB1_S8_calibration_run1	LMNB1	S8_calibration_run1	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/25_LMNB1/25_LMNB1.fcs	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/25_LMNB1/25_LMNB1.wsp	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/25_LMNB1/25_LMNB1_images_20240104_1326_02	25_LMNB1
EDC4_S8_calibration_run1	EDC4	S8_calibration_run1	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/29_EDC4/29_EDC4.fcs	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/29_EDC4/29_EDC4.wsp	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/29_EDC4/29_EDC4_images_20240104_1345_02	29_EDC4
ACTN4_S8_calibration_run1	ACTN4	S8_calibration_run1	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/43_ACTN4/43_ACTN4.fcs	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/43_ACTN4/43_ACTN4.wsp	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/43_ACTN4/43_ACTN4_images_20240104_1405_26	43_ACTN4
CLTA_S8_calibration_run2	CLTA	S8_calibration_run2	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/48_CLTA_1/48_CLTA.fcs	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/48_CLTA_1/48_CLTA.wsp	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/48_CLTA_1/48_CLTA_images_20240104_1409_59	48_CLTA
PRDX1_S8_calibration_run1	PRDX1	S8_calibration_run1	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/10_PRDX1/10_PRDX1.fcs	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/10_PRDX1/10_PRDX1.wsp	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/10_PRDX1/10_PRDX1_images_20240104_1242_01	10_PRDX1
ARF1_S8_calibration_run1	ARF1	S8_calibration_run1	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/15_ARF1/15_ARF1.fcs	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/15_ARF1/15_ARF1.wsp	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/15_ARF1/15_ARF1_images_20240104_1306_00	15_ARF1
NOP56_S8_calibration_run1	NOP56	S8_calibration_run1	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/22_Nop56/22_Nop56.fcs	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/22_Nop56/22_Nop56.wsp	/g/steinmetz/project/vulcan_images/Melanie/20231130_Calibration_Tag_S8/22_Nop56/22_Nop56_images_20240104_1321_12	22_Nop56
