prot_id	off_target	hc_k_2	hc_k_3	hc_k_4	hc_k_5	hc_k_6	hc_k_7	hc_k_8	hc_k_9	hc_k_10	hc_k_11	hc_k_12	hc_k_13	hc_k_14	hc_k_15	hc_k_16	hc_k_17	hc_k_18	hc_k_19	hc_k_20	hc_k_21	hc_k_22	hc_k_23	hc_k_24	hc_k_25	hc_k_26	hc_k_27	hc_k_28	hc_k_29	hc_k_30	hc_k_31	hc_k_32	hc_k_33	hc_k_34	hc_k_35	hc_k_36	hc_k_37	hc_k_38	hc_k_39	hc_k_40	km_k_2	km_k_3	km_k_4	km_k_5	km_k_6	km_k_7	km_k_8	km_k_9	km_k_10	km_k_11	km_k_12	km_k_13	km_k_14	km_k_15	km_k_16	km_k_17	km_k_18	km_k_19	km_k_20	km_k_21	km_k_22	km_k_23	km_k_24	km_k_25	km_k_26	km_k_27	km_k_28	km_k_29	km_k_30	km_k_31	km_k_32	km_k_33	km_k_34	km_k_35	km_k_36	km_k_37	km_k_38	km_k_39	km_k_40	lc_light	lc_comp
ACTB		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4	4	1	5	8	3	2	4	7	6	11	15	9	13	6	13	1	12	8	15	4	12	26	13	16	2	20	14	31	19	14	25	33	34	35	36	11	5	7
ACTN4		2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	4	1	7	8	6	1	6	1	14	6	4	9	3	12	12	5	1	7	21	23	19	23	6	12	1	25	3	14	7	30	22	27	14	27	28	5	7
ARF1		1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	2	3	5	5	2	6	7	8	8	1	11	9	3	14	6	5	18	2	18	7	11	15	6	5	15	25	29	19	9	21	6	16	1	35	32	4	31	39	2	2
ATG3		2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	1	2	1	4	1	5	5	7	1	9	9	14	6	4	9	3	7	11	7	1	10	1	23	14	2	4	15	3	31	15	18	30	18	27	12	19	18	2	1	1
ATP1B3		2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	1	2	1	4	7	5	1	4	1	3	9	2	13	11	1	11	6	10	6	13	3	17	25	18	3	23	21	8	26	18	32	19	29	3	28	32	7	32	7	8
CANX		1	3	3	3	3	3	3	3	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	1	2	3	5	5	2	6	2	8	3	4	12	9	7	2	8	5	17	17	2	17	20	22	9	24	12	25	16	21	22	20	1	34	6	34	19	36	23	4	2	2
CCR-NOT		2	2	2	2	2	2	2	2	2	4	4	4	6	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	2	1	2	1	4	1	7	8	6	5	6	1	6	14	1	14	15	2	18	9	19	21	20	19	12	8	7	17	28	6	14	13	6	12	6	24	23	8	5	7	9
CDH2	Yes	2	2	4	4	4	4	4	4	5	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	1	1	2	6	6	1	6	10	6	12	13	8	1	3	17	1	14	7	14	18	13	10	21	8	4	22	25	26	11	19	30	15	7	4	4	9	6	3	6	10
CERK		2	2	2	2	2	2	2	2	2	4	4	4	6	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	2	1	2	1	4	7	5	1	4	11	3	5	5	11	5	15	14	3	9	1	6	14	24	14	12	9	10	10	15	23	27	31	13	34	36	17	30	34	1	6	10
CLTA		2	2	2	2	5	5	5	5	6	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	9	9	9	9	9	9	9	9	9	2	1	2	3	3	4	2	5	7	7	9	8	7	5	12	7	9	4	6	8	4	23	16	24	17	20	12	3	30	3	1	3	3	3	18	14	24	33	16	1	1
