tag_group	localization	percentage
Group_1	Cytostolic	50
Group_2	Cytostolic	42.85714286
Group_3	Cytostolic	20
Group_4	Cytostolic	28.57142857
Group_5	Cytostolic	57.14285714
Group_6	Cytostolic	23.07692308
Group_7	Cytostolic	0
Group_1	ER/Golgi	0
Group_2	ER/Golgi	7.142857143
Group_3	ER/Golgi	40
Group_4	ER/Golgi	14.28571429
Group_5	ER/Golgi	57.14285714
Group_6	ER/Golgi	15.38461538
Group_7	ER/Golgi	0
Group_1	Cell_membrane/junctions	50
Group_2	Cell_membrane/junctions	28.57142857
Group_3	Cell_membrane/junctions	20
Group_4	Cell_membrane/junctions	71.42857143
Group_5	Cell_membrane/junctions	0
Group_6	Cell_membrane/junctions	7.692307692
Group_7	Cell_membrane/junctions	0
Group_1	Mitochondria	0
Group_2	Mitochondria	0
Group_3	Mitochondria	20
Group_4	Mitochondria	0
Group_5	Mitochondria	0
Group_6	Mitochondria	23.07692308
Group_7	Mitochondria	0
Group_1	Nuclear	50
Group_2	Nuclear	42.85714286
Group_3	Nuclear	40
Group_4	Nuclear	0
Group_5	Nuclear	0
Group_6	Nuclear	38.46153846
Group_7	Nuclear	100
Group_1	Vesicles/endosomes/lysosomes/lipid_droplets	0
Group_2	Vesicles/endosomes/lysosomes/lipid_droplets	21.42857143
Group_3	Vesicles/endosomes/lysosomes/lipid_droplets	0
Group_4	Vesicles/endosomes/lysosomes/lipid_droplets	0
Group_5	Vesicles/endosomes/lysosomes/lipid_droplets	42.85714286
Group_6	Vesicles/endosomes/lysosomes/lipid_droplets	7.692307692
Group_7	Vesicles/endosomes/lysosomes/lipid_droplets	0
